Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE LEARNING,111,46,108,37,0.7070063694267515,0.75,0.7991181116181116,0.45076471361584647,
BOOKKEEPER,2,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE LEARNING,129,26,166,143,0.832258064516129,0.4742647058823529,0.81298828125,0.3109798959651343,
BOOKKEEPER,3,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE LEARNING,367,66,131,54,0.8475750577367206,0.8717339667458432,0.8344526568359116,0.5455492505484538,
BOOKKEEPER,4,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE LEARNING,319,20,101,150,0.9410029498525073,0.6801705756929638,0.8207193078292129,0.36814121382403703,
BOOKKEEPER,5,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE LEARNING,298,51,146,123,0.8538681948424068,0.7078384798099763,0.7871818368158964,0.4091713277876067,
BOOKKEEPER,6,RANDOM FOREST,UNDERSAMPLING,NO,SENSITIVE LEARNING,346,0,0,310,1.0,0.5274390243902439,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE LEARNING,2,9,145,146,0.18181818181818182,0.013513513513513514,0.6956168831168831,-0.045753094142353005,
BOOKKEEPER,2,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE LEARNING,150,35,157,122,0.8108108108108109,0.5514705882352942,0.7808191636029411,0.34611518023840304,
BOOKKEEPER,3,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE LEARNING,381,123,74,40,0.7559523809523809,0.9049881235154394,0.7767522336231115,0.3160467674257547,
BOOKKEEPER,4,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE LEARNING,364,57,64,105,0.8646080760095012,0.7761194029850746,0.7777317661985234,0.26590989385723723,
BOOKKEEPER,5,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE LEARNING,393,117,80,28,0.7705882352941177,0.9334916864608076,0.7670400424418534,0.38597212514903584,
BOOKKEEPER,6,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE LEARNING,497,0,0,159,1.0,0.7576219512195121,NaN,0.0,
BOOKKEEPER,1,IBK,UNDERSAMPLING,NO,SENSITIVE LEARNING,136,97,57,12,0.5836909871244635,0.918918918918919,0.6451167076167076,0.28585065301340756,
BOOKKEEPER,2,IBK,UNDERSAMPLING,NO,SENSITIVE LEARNING,61,11,181,211,0.8472222222222222,0.22426470588235295,0.6044634650735294,0.14479277364505844,
BOOKKEEPER,3,IBK,UNDERSAMPLING,NO,SENSITIVE LEARNING,400,116,81,21,0.7751937984496124,0.9501187648456056,0.6874856819031313,0.41445703141209184,
BOOKKEEPER,4,IBK,UNDERSAMPLING,NO,SENSITIVE LEARNING,310,37,84,159,0.8933717579250721,0.6609808102345416,0.660478598741828,0.2584993010759583,
